City,Country,Date,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed
Onega,RU,09-02-2018,63.91,38.09,61.79,91,12,1.97
Findlay,US,09-02-2018,41.04,-83.65,77.0,81,1,9.17
Santa Isabel do Rio Negro,BR,09-02-2018,-0.41,-65.02,83.39,82,48,5.1
Tamale,GH,09-02-2018,9.4,-0.84,82.85,88,76,6.55
Poso,ID,09-02-2018,-1.4,120.75,74.75,100,12,4.09
Varzea da Palma,BR,09-02-2018,-17.6,-44.73,87.26,38,0,11.14
Longyan,CN,09-02-2018,25.1,117.03,73.4,88,48,1.74
Aklavik,CA,09-02-2018,68.22,-135.01,32.0,89,75,12.75
Pak Phanang,TH,09-02-2018,8.35,100.2,80.6,69,20,4.7
Port Alfred,ZA,09-02-2018,-33.59,26.89,63.95,100,92,9.8
Alta Floresta,BR,09-02-2018,-9.87,-56.08,95.36,32,0,3.2
Amahai,ID,09-02-2018,-3.31,129.0,80.87,100,56,11.81
Tiksi,RU,09-02-2018,71.64,128.87,39.2,100,76,12.15
Ambatofinandrahana,MG,09-02-2018,-20.55,46.8,62.96,56,12,6.44
Andros Town,BS,09-02-2018,24.73,-77.79,84.2,70,40,13.87
Orumiyeh,IR,09-02-2018,37.55,45.08,84.2,26,0,6.93
Noyabrsk,RU,09-02-2018,63.2,75.45,48.2,71,0,8.46
Otjiwarongo,NA,09-02-2018,-20.46,16.65,82.85,16,0,8.57
Mandalgovi,MN,09-02-2018,45.76,106.27,50.81,59,0,15.05
Potosi,BO,09-02-2018,-19.59,-65.75,42.8,16,0,11.41
Dicabisagan,PH,09-02-2018,17.08,122.42,77.9,100,68,2.42
Terrace,CA,09-02-2018,54.52,-128.61,50.0,93,75,11.41
Itupiranga,BR,09-02-2018,-5.13,-49.33,95.63,40,0,8.57
Alvares Machado,BR,09-02-2018,-22.08,-51.47,81.41,59,76,11.59
Balad,ID,09-02-2018,-6.76,108.42,79.25,100,12,14.5
Boende,CD,09-02-2018,-0.28,20.88,81.41,77,20,2.75
Dawei,MM,09-02-2018,14.07,98.19,71.24,100,92,1.74
Seddon,NZ,09-02-2018,-41.67,174.07,49.28,100,92,4.65
Murdochville,CA,09-02-2018,48.96,-65.49,70.16,78,76,5.77
Velizh,RU,09-02-2018,55.61,31.2,73.31,61,88,3.2
Lafia,NG,09-02-2018,8.5,8.51,74.21,100,92,4.54
Shatrovo,BG,09-02-2018,42.29,22.98,87.8,22,0,11.41
Tupancireta,BR,09-02-2018,-29.08,-53.84,56.93,100,92,7.11
New Norfolk,AU,09-02-2018,-42.78,147.06,39.2,80,20,4.7
Sabinas Hidalgo,MX,09-02-2018,26.51,-100.18,81.95,64,12,3.53
Sri Aman,MY,09-02-2018,1.24,111.46,75.2,94,80,1.52
Vihti,FI,09-02-2018,60.42,24.32,68.0,68,40,2.24
Tapes,BR,09-02-2018,-30.67,-51.4,66.83,96,80,8.12
